license_no,dba_name,aka_name,facility_type,risk_level,address,city,state,zip,latitude,longitude,ward
1493153,SONNY'S DELI,,Restaurant,1,280 S COLUMBUS DR ,CHICAGO,IL,60603,41.87838431,-87.62083163,42
1493176,CAFE MARRAKECH EXPRESSO,,,3,4747 N DAMEN AVE ,CHICAGO,IL,60625,41.9683304,-87.67902763,47
1493254,FOX LIQUORS,,,3,4707 N DAMEN AVE ,CHICAGO,IL,60625,41.96714374,-87.67899333,47
1493295,ZAMZAM BANQUET HALL,,BANQUET HALL,1,6755 W DIVERSEY AVE ,CHICAGO,IL,60707,41.93077762,-87.79524329,36
1493299,ROSEMONT FOOD,,,3,4043 W MADISON ST ,CHICAGO,IL,60624,41.88059548,-87.72738663,28
1493332,SNAPPY'S SHRIMP,,Restaurant,1,1901 W IRVING PARK RD ,CHICAGO,IL,60613,41.9540769,-87.67644728,47
1493336,RICOBENES ON WELLS,,Restaurant,1,205 W WACKER DR ,CHICAGO,IL,60606,41.8867073,-87.63415039,42
1493339,AVALON CAFE INC.,,,3,6701 N OLMSTED AVE ,CHICAGO,IL,60631,42.00224677,-87.81681364,41
1493350,BJ'S MARKET & BAKERY,,Restaurant,1,1156 W 79TH ST ,CHICAGO,IL,60620,41.75060829,-87.65359464,17
1493364,VERN'S LIQUOR INC,,,3,5216 S DAMEN AVE ,CHICAGO,IL,60609,41.79839184,-87.67457702,16
1493378,WEN   CAFE INC,,,1,3417 S HALSTED ST ,CHICAGO,IL,60608,41.8320155,-87.64598772,11
1493379,HAROLD'S CHICKEN SHACK,,Restaurant,2,7247 S RACINE AVE ,CHICAGO,IL,60636,41.76181563,-87.65388432,6
1493421,YARITZA'S GROCERIES,,,3,3716 W BELMONT AVE ,CHICAGO,IL,60618,41.93928593,-87.72057021,30
1493439,TROPICAL SHIP WRECK CAFE INC,,,3,4819 N WESTERN AVE ,CHICAGO,IL,60625,41.96919695,-87.68877568,47
1493442,COURT HOUSE CITGO,CITGO,Grocery Store,3,3202 W CERMAK RD ,CHICAGO,IL,60623,41.85187306,-87.70538678,24
1493447,GRANDE NOODLES,,Restaurant,1,6632 N CLARK ST ,CHICAGO,IL,60626,42.00262823,-87.67232835,49
1493459,GFC,,Restaurant,2,5158 W DIVISION ST ,CHICAGO,IL,60651,41.90236016,-87.75571651,37
1493464,FIRST START  CHILDCARE ACADEMY,,Daycare (2 - 6 Years),1,4753-4759 W WASHINGTON BLVD ,CHICAGO,IL,60644,41.88170868,-87.74498504,28
1493489,GRAND CENTRAL RESTAURANT,BARN AND COMPANY,Restaurant,1,950-952 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,41.92912424,-87.65333792,43
1493531,SOUTH WATER MARKET INC,,Wholesale,2,2525 S BLUE ISLAND AVE ,CHICAGO,IL,60608,41.84635682,-87.6811176,25
1493550,NEW CHINA BUFFET,,Restaurant,1,3246 W ADDISON ST ,CHICAGO,IL,60618,41.9467169,-87.70967187,35
1493571,Walgreens # 03321,,Grocery Store,3,5874 S ARCHER AVE ,CHICAGO,IL,60638,41.79591839,-87.76178079,14
1493574,Walgreens # 02340,,Grocery Store,3,342 E ILLINOIS ST ,CHICAGO,IL,60611,41.89114733,-87.61839727,42
